@@,itemlabel,item,startdate,enddate
+++,Valentin Dvurechensky,,1990-12-29,1992-02-07
+++,Baltash Tursumbaev,,1992-02-07,1993-11-18
+++,Sergey Kulagin,,1993-11-22,1994-06-19
+++,Janibek Karibjanov,,1994-06-13,1996-03-04
+++,Serik Aqymbekov,,1996-03-05,1998-01-20
+++,Sergey Kulagin,,1998-01-20,1998-09-16
+++,Toleuhan Nurkianov,,1998-10-06,1999-01-22
+++,Janibek Karibjanov,,1999-01-22,1999-07-19
+++,Sauat Mynbayev,Q2226968,1999-07-26,2001-05-18
+++,Akhmetzhan Yessimov,Q340561,2001-05-18,2004-05-15
+++,Serik Umbetov,,2004-05-15,2005-08-11
+++,Askar Myrzakhmetov,Q4309432,2005-08-25,2006-01-19
+++,Akhmetzhan Yessimov,Q340561,2006-01-19,2008-04-04
+++,Aqylbek Kurishbaev,,2008-04-04,2011-04-08
+++,Asyljan Mamytbekov,Q12530375,2011-04-11,2016-05-06
+++,Askar Myrzakhmetov,Q4309432,2016-05-06,2017-12-15
+++,Umirzak Shukeyev,Q4527445,2017-12-15,2019-02-25
->,Saparhan Omarov,Q62714154,2019-02-25,2021-07-10->2022-01-05
---,Yerbol Karashukeev,Q108391615,2021-07,
+++,Erbol Qaraşukeev,,2022-01-11,
